,_id,created_at,favorite_count,featch_time,full_text,keyword,lang,quote_count,reply_count,retweet_count,source,tid,tweet_url,user_url
0,6513c2130408657d8a048312,Tue Dec 08 17:21:27 +0000 2020,185,2023-09-27,"🚨🚨豬队友惊天第二炸‼️‼️翟东升证明中共对美國高層核心政客的渗透控制，被Fox卡尔松和川普總統转发后，已經成為证据，证实川普團隊对民主党人的指控。
以下是翟东升以亲身经历为川普口中的沼泽，民間所称的deep state深层政府做证，讲述“沼泽”对川普的抵抗。
美国左派民主党人很忌讳的又被翟戳穿。
🤣 https://t.co/PdWcy7ZWe5",民主党,zh,32,28,104,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1336360253353459712,https://twitter.com/irvinedai/status/1336360253353459712,https://twitter.com/irvinedai
1,6513c2130408657d8a048314,Fri Nov 13 14:51:21 +0000 2020,39,2023-09-27,新澤西州民主党人士，通過代理人曝料，他們通過投票计數流程做弊，并培訓宾州和紐約的民主党人。https://t.co/vrVSTjCTH8,民主党,zh,2,4,18,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1327262781310025728,https://twitter.com/irvinedai/status/1327262781310025728,https://twitter.com/irvinedai
2,6513c2130408657d8a048316,Wed Dec 09 13:28:15 +0000 2020,55,2023-09-27,美国总统就职典礼联合委员会（JCCIC）8日通过投票，拒认民主党总统候选人拜登、副总统候选人贺锦丽为当选人，否决民主党人提出的筹备拜登1月就职典礼议案。 https://t.co/deGkC2ikD8,民主党,zh,1,4,12,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1336663956392353793,https://twitter.com/irvinedai/status/1336663956392353793,https://twitter.com/irvinedai
3,6513c2130408657d8a048318,Mon Jan 11 22:48:45 +0000 2021,36,2023-09-27,"求证‼️

 1.“我将赦免朱利安·阿桑奇和爱德华·斯诺登。 

 2.“我援引1807年的《叛乱法》，以解决民主党和共和党议员，中共特工，联邦调查局，司法部，中情局等人进行的叛国叛乱，以破坏、腐蚀和拆解美国及其选民。 这些实体对国家安全构成直接威胁。 我将无限期地担任总统，直到所有国内敌人被捕为止。” https://t.co/56JvEbSQdU",民主党,zh,6,15,7,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1348763808811032578,https://twitter.com/irvinedai/status/1348763808811032578,https://twitter.com/irvinedai
4,6513c2130408657d8a04831a,Thu Jan 07 03:45:21 +0000 2021,33,2023-09-27,"川普总统除了支持者已经一无所有‼️
没有什么大招了‼️
那些还以外国干涉为理由，让川普戒严，抓人的，都是白痴‼️
川普干什么了？支持者冲进国会，民主党就要发动罢免，共和党将要同意。
川普一宣布戒严，自己就会被抓。这就是美国政治现实‼️
川普已经是真正孤家寡人，是所有政客，资本家，菁英的公敌‼️ https://t.co/yao1yaVx9I",民主党,zh,2,12,7,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1347026511279230978,https://twitter.com/irvinedai/status/1347026511279230978,https://twitter.com/irvinedai
5,6513c2130408657d8a04831c,Sun Sep 17 14:12:16 +0000 2023,234,2023-09-27,"Scandals involving Virginia Democrat Susanna Gibson, Republican Governor Kristi Noem, &amp; Republican Congresswoman Lauren Boebert all show a certain brazen shamelessness. Russ Latino writes a little shame wouldn't hurt in politics. https://t.co/4U71r7898Y",民主党,en,9,44,86,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",1703411553645506704,https://twitter.com/magnoliatribune/status/1703411553645506704,https://twitter.com/magnoliatribune
6,6513c2130408657d8a048320,Sun Nov 15 14:21:12 +0000 2020,21,2023-09-27,"左派说川普号召大游行是煽动仇恨和对立，可是，川普“败选”以来，并没有发生打砸抢烧。

相反，满口平等愽爱的左派，却是 #BLM #antifa 的支持者。
别否认，他们已经在向民主党要回报了，理由是帮拜登拉了六千万票。
美国人不会忘记谁支持 #BLM #antifa 打砸抢烧！
谁制造对立和仇恨。
谁不惜摧毁家园。 https://t.co/XHX20U8y11",民主党,zh,0,1,4,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1327979972129038336,https://twitter.com/irvinedai/status/1327979972129038336,https://twitter.com/irvinedai
7,6513c2140408657d8a048322,Tue Nov 17 03:12:14 +0000 2020,16,2023-09-27,"破锣西表示，民主党将对选举失败进行“深入研究”，到目前为止，这次大选已使民主党失去了10个众议院席位。

 “当我们得到更多数据时，将获得更清晰的画面。”

来来，上画面。

其实更要解释的是，众议院输成这样了，总统大选怎么可能赢？ https://t.co/rekcXLyqYY",民主党,zh,0,4,6,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1328536395254697985,https://twitter.com/irvinedai/status/1328536395254697985,https://twitter.com/irvinedai
8,6513c2140408657d8a048324,Wed Jan 06 12:41:48 +0000 2021,32,2023-09-27,"🚨如果没有猜错的话，赵家女婿宁愿共和党在参议院失去多数，也不让承诺当选后在国会支持川普挑战的洛夫勒上。
🚨本质上讲，这是一笔和民主党达成的交易。
🚨🚨失去参议院使得川普在国会挑战这次欺诈性总统选举结果变得更加艰难‼️
🚨🚨🚨彭斯的价值将更加重要‼️
🚨🚨🚨川普是唯一能使美国远离深渊的人‼️ https://t.co/SYbvLXAL5k",民主党,zh,0,8,7,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1346799127036710913,https://twitter.com/irvinedai/status/1346799127036710913,https://twitter.com/irvinedai
9,6513c2140408657d8a048326,Tue Dec 15 06:38:29 +0000 2020,75,2023-09-27,"感謝宾西法尼亚PA ，喬治亞GA，威斯康辛 WI，密西根 MI ，亚利桑納AZ ，內華達NV ，新墨西哥NM。七个州議會选择投票给川普，与州政府投票给拜登不一致，使84张選举人票不確定，成功击败媒體联合民主党发动的政变，把拜登从超過270当选票位置上拉下来。

這是川普和支持者的勝利！

上帝保佑自由世界！ https://t.co/asSm0aeUlf",民主党,zh,2,9,18,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1338735161744084993,https://twitter.com/irvinedai/status/1338735161744084993,https://twitter.com/irvinedai
10,6513c2150408657d8a048328,Thu Dec 17 14:04:43 +0000 2020,29,2023-09-27,"感覺共和党现在邏輯是：无能为力解决损害川普和美国的选举欺诈问题，但是，如果您投票让他们掌权，他们将保证在下一次解决这些问题。

小样，和民主党学的还挺快的。

民主党保证实现平等，喊了几百年，然後歪楼改喊自由了。如果川普这个过去至少十几届兌现政见最多的总统共和党都保不住，回家卖牛吧！ https://t.co/ivO1KPmyM8",民主党,zh,1,4,2,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1339572234168385538,https://twitter.com/irvinedai/status/1339572234168385538,https://twitter.com/irvinedai
